JuAr Jugendberatung,Kanton Basel-Stadt,2024,Nutzungen,NA,"Im Jahresbericht der JuAr Basel 2024 wird erwähnt, dass die Fallzahlen für neue Beratungen, Wiederaufnahmen und Kurzberatungen bei der Jugendberatung im Jahr 2024 weiterhin gestiegen sind. Eine genaue Anzahl der Beratungen wird im Jahresbericht nicht explizit genannt."
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2024,Anzahl Fälle,183,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern, 2024,Beratungskontakte,1609,
Jugendberatung Stadt Zürich,Zürich,2024,Beratungen,339,
Jugendberatung Stadt Zürich,Zürich,2024,Beratungsstunden,4663,
Jugendberatung Stadt Zürich,Zürich,2024,TelEMailBeratung,NA,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2024,Personen in Jugendberatung,130,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2024,Stunden Jugendberatung,772,
Perspektive Thurgau,Kanton Thurgau,2024,Fälle 0 - 19 Jahre,287,
Perspektive Thurgau,Kanton Thurgau,2024,Fälle 20 - 29 Jahre,162,
Perspektive Thurgau,Kanton Thurgau,2024,Gespräche Jugendberatung,1462,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Beratungsstunden,2316,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Klient*innen,254,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Neuanmeldungen,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Beratungsfälle,239,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Beratungsgespräche,1502,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Stunden Beratungsarbeit,2401,
